District,Month,Year,Description,Keywords
Visakhapatnam,April,2016-17,The dataset provides the details of disbursement of the Visakhapatnam district treasury for the month of April in the fiscal year 2016-17.,"['District Treasury', 'Andhra Pradesh', 'Visakhapatnam', 'April', '2016-17', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Public Health', 'Labour', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Correctional Services', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Headquarters Office', 'Government Hostels', 'Certified Schools and Homes', 'District Police Force']"
Visakhapatnam,May,2016-17,The dataset provides the details of disbursement of the Visakhapatnam district treasury for the month of May in the fiscal year 2016-17.,"['District Treasury', 'Andhra Pradesh', 'Visakhapatnam', 'May', '2016-17', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Public Health', 'Labour', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Correctional Services', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Headquarters Office', 'Government Hostels', 'Certified Schools and Homes', 'District Police Force']"
Visakhapatnam,June,2016-17,The dataset provides the details of disbursement of the Visakhapatnam district treasury for the month of June in the fiscal year 2016-17.,"['District Treasury', 'Andhra Pradesh', 'Visakhapatnam', 'June', '2016-17', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Public Health', 'Labour', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Correctional Services', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Headquarters Office', 'Government Hostels', 'Certified Schools and Homes', 'District Police Force']"
Visakhapatnam,July,2016-17,The dataset provides the details of disbursement of the Visakhapatnam district treasury for the month of July in the fiscal year 2016-17.,"['District Treasury', 'Andhra Pradesh', 'Visakhapatnam', 'July', '2016-17', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Public Health', 'Labour', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Correctional Services', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Headquarters Office', 'Government Hostels', 'Certified Schools and Homes', 'District Police Force']"
Visakhapatnam,August,2016-17,The dataset provides the details of disbursement of the Visakhapatnam district treasury for the month of August in the fiscal year 2016-17.,"['District Treasury', 'Andhra Pradesh', 'Visakhapatnam', 'August', '2016-17', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Public Health', 'Labour', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Correctional Services', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Headquarters Office', 'Government Hostels', 'Certified Schools and Homes', 'District Police Force']"
Visakhapatnam,September,2016-17,The dataset provides the details of disbursement of the Visakhapatnam district treasury for the month of September in the fiscal year 2016-17.,"['District Treasury', 'Andhra Pradesh', 'Visakhapatnam', 'September', '2016-17', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Public Health', 'Labour', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Correctional Services', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Headquarters Office', 'Government Hostels', 'Certified Schools and Homes', 'District Police Force']"
Visakhapatnam,October,2016-17,The dataset provides the details of disbursement of the Visakhapatnam district treasury for the month of October in the fiscal year 2016-17.,"['District Treasury', 'Andhra Pradesh', 'Visakhapatnam', 'October', '2016-17', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Public Health', 'Labour', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Correctional Services', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Headquarters Office', 'Government Hostels', 'Certified Schools and Homes', 'District Police Force']"
Visakhapatnam,November,2016-17,The dataset provides the details of disbursement of the Visakhapatnam district treasury for the month of November in the fiscal year 2016-17.,"['District Treasury', 'Andhra Pradesh', 'Visakhapatnam', 'November', '2016-17', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Public Health', 'Labour', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Correctional Services', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Headquarters Office', 'Government Hostels', 'Certified Schools and Homes', 'District Police Force']"
Visakhapatnam,December,2016-17,The dataset provides the details of disbursement of the Visakhapatnam district treasury for the month of December in the fiscal year 2016-17.,"['District Treasury', 'Andhra Pradesh', 'Visakhapatnam', 'December', '2016-17', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Public Health', 'Labour', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Correctional Services', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Headquarters Office', 'Government Hostels', 'Certified Schools and Homes', 'District Police Force']"
Visakhapatnam,January,2016-17,The dataset provides the details of disbursement of the Visakhapatnam district treasury for the month of January in the fiscal year 2016-17.,"['District Treasury', 'Andhra Pradesh', 'Visakhapatnam', 'January', '2016-17', 'Medical and Public Health', 'Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities', 'Social Security and Welfare', 'General Education', 'Administration of Justice', 'Police', 'Social Welfare', 'Welfare of Scheduled Tribes', 'Welfare of Scheduled Castes', 'Public Health', 'Labour', 'Welfare of Backward Classes', 'Direction and Administration', 'Education', 'Correctional Services', 'Welfare of Handicapped', 'Legal Advisors and Counsels', 'Civil and Sessions Courts', 'District Offices', 'Regional Offices', 'Headquarters Office', 'Government Hostels', 'Certified Schools and Homes', 'District Police Force']"
