,Amount,Detailed Head,Detailed Head Description,District,Group Sub Head,Group Sub Head Description,Head of Account,Major Head,Major Head Description,Major Head Type,Minor Head,Minor Head Description,Month,Plan/Non Plan,Sub Detailed Head,Sub Detailed Head Description,Sub Head,Sub Head Description,Sub Major Head,Sub Major Head Description,Voted/Charged,Year
640,7242788.0,10.0,Salaries,EASTGODAVARI,0.0,Not Applicable,2202011010004010011NVN,2202.0,General Education,P,101.0,Government Primary Schools,NOV,N,11.0,Pay,4.0,Government Primary Schools,1.0,Elementary Education,V,2014
641,244965.0,10.0,Salaries,EASTGODAVARI,0.0,Not Applicable,2202011010004010012NVN,2202.0,General Education,P,101.0,Government Primary Schools,NOV,N,12.0,Allowances,4.0,Government Primary Schools,1.0,Elementary Education,V,2014
642,6184518.0,10.0,Salaries,EASTGODAVARI,0.0,Not Applicable,2202011010004010013NVN,2202.0,General Education,P,101.0,Government Primary Schools,NOV,N,13.0,Dearness Allowance,4.0,Government Primary Schools,1.0,Elementary Education,V,2014
643,1823492.0,10.0,Salaries,EASTGODAVARI,0.0,Not Applicable,2202011010004010015NVN,2202.0,General Education,P,101.0,Government Primary Schools,NOV,N,15.0,Interim Relief,4.0,Government Primary Schools,1.0,Elementary Education,V,2014
644,1136036.0,10.0,Salaries,EASTGODAVARI,0.0,Not Applicable,2202011010004010016NVN,2202.0,General Education,P,101.0,Government Primary Schools,NOV,N,16.0,House Rent Allowance,4.0,Government Primary Schools,1.0,Elementary Education,V,2014
645,154615.0,10.0,Salaries,EASTGODAVARI,0.0,Not Applicable,2202011010004010017NVN,2202.0,General Education,P,101.0,Government Primary Schools,NOV,N,17.0,Medical Reimbursement,4.0,Government Primary Schools,1.0,Elementary Education,V,2014
646,65141.0,10.0,Salaries,EASTGODAVARI,0.0,Not Applicable,2202011010004010018NVN,2202.0,General Education,P,101.0,Government Primary Schools,NOV,N,18.0,Encashment of Earned Leave,4.0,Government Primary Schools,1.0,Elementary Education,V,2014
647,0.0,210.0,Supplies and Materials,EASTGODAVARI,0.0,Not Applicable,2202011010004210211NVN,2202.0,General Education,P,101.0,Government Primary Schools,NOV,N,211.0,Materials and Supplies,4.0,Government Primary Schools,1.0,Elementary Education,V,2014
648,0.0,310.0,Grants-in-Aid,EASTGODAVARI,0.0,Not Applicable,2202011010004310318NVN,2202.0,General Education,P,101.0,Government Primary Schools,NOV,N,318.0,Obsequies Charges,4.0,Government Primary Schools,1.0,Elementary Education,V,2014
649,5365281.0,310.0,Grants-in-Aid,EASTGODAVARI,0.0,Not Applicable,2202011020004310311NVN,2202.0,General Education,P,102.0,"Assistance to Non-Govt., Primary Schools",NOV,N,311.0,Grants-in-Aid towards Salaries,4.0,Assistane to Aided Primary Schools,1.0,Elementary Education,V,2014
650,0.0,310.0,Grants-in-Aid,EASTGODAVARI,0.0,Not Applicable,2202011020004310312NVN,2202.0,General Education,P,102.0,"Assistance to Non-Govt., Primary Schools",NOV,N,312.0,Other Grants-in-Aid,4.0,Assistane to Aided Primary Schools,1.0,Elementary Education,V,2014
722,12715611.0,10.0,Salaries,EASTGODAVARI,0.0,Not Applicable,2202021090004010011NVN,2202.0,General Education,P,109.0,Government Secondary Schools,NOV,N,11.0,Pay,4.0,Government Secondary Schools,2.0,Secondary Education,V,2014
723,166413.0,10.0,Salaries,EASTGODAVARI,0.0,Not Applicable,2202021090004010012NVN,2202.0,General Education,P,109.0,Government Secondary Schools,NOV,N,12.0,Allowances,4.0,Government Secondary Schools,2.0,Secondary Education,V,2014
724,11215960.0,10.0,Salaries,EASTGODAVARI,0.0,Not Applicable,2202021090004010013NVN,2202.0,General Education,P,109.0,Government Secondary Schools,NOV,N,13.0,Dearness Allowance,4.0,Government Secondary Schools,2.0,Secondary Education,V,2014
725,3331366.0,10.0,Salaries,EASTGODAVARI,0.0,Not Applicable,2202021090004010015NVN,2202.0,General Education,P,109.0,Government Secondary Schools,NOV,N,15.0,Interim Relief,4.0,Government Secondary Schools,2.0,Secondary Education,V,2014
